translated	origin_language
If the player deliberately touches one of his pieces, he must move him, provided that he can make a valid move with it. If it deliberately touches a piece of the opponent, it must be captured, if the capture is legally possible. This rule applies to all formal chess competitions. Players who intend not to observe this rule, in friendly matches, must agree in advance in advance.	ru
Each individual has the right to freedom of thought, consciousness and religion;This right includes the freedom to change of religion or belief, and the freedom to express, isolation or in common, and both in public and in private, one's religion or one's belief in teaching, in the practices, cult and compliance with the rites.	ru
I had a friend who liked a kind of poet. In his verses he only talked about love, heaven, stars. Ah! What it was redone! He crunched him more than three hundred thousand francs.	fr
And before I knew it, before I knew how the hoof ’ripling on the roof. Turning me from the window, I became aware: St. Nicholas came down the fireplace.	de
All Arabian -speaking prisoners have been released by the Algerian regime with the exception of activists for the independence of Kabylia, Mozabite autonomists and Chaouis autonomists. This is not new for the racist and criminal Algerian regime, but the worst is that the Algerians support their imprisonment!	fr
"“Dad, come and play cat with both of us. You are the one.""Grrr, where are the little chenapans?""I will catch them and eat them. Aha, I hold you!»« Ahh! Don't eat, I'm too thin! Marie is better!»« Tom, kind of cafeter!»»"	fr
If you really want to update your linguistic skills, then the translation may not be the best way to do it, but you are really playing and that's it, so I believe that if you find it fun, more power to you.	ru
Time has no division that marks its passage, there is never a storm or radiance of the trumpets to announce the beginning of a new month or a new year. Even when a century begins, it is only we mortal, who ring the bells and send rifles salvés.	fr
Sometimes with line and fishing rod they captured the fish that swam among the rocks;Other times with dogs and nets they captured the hares that had fled the vineyards, frightened by the noise of the harvests.	ru
And when the first Muslim American was recently elected in Congress, he promised to defend our Constitution using the same Sacred Koran that one of our founding Fathers - Thomas Jefferson - held in his personal library.	ru
Tom and Mary just stood out to dive into the infinity of the body from the left edge of the sentence when they saw a swarm of hungry, grinding employees at the bottom, who were only waiting to overthrow themselves and tear their mistakes up to the last.	de
Tommaso was atheist. He is now studying biochemistry and has been convinced that something like DNA and RNA molecules cannot be the product of laws and natural forces generated by the Big Bang.	ru
The DNA molecule is very fine and long. If we wanted to draw it, on a scale, with the thickness of a sewing thread, the molecule would have about two hundred kilometers long.	es
The main thing I like of these communities is the lack of competition. Instead of jumping to the ground for each other for their personal gain, everyone focuses on being there for each other.	ru
Viswanathan Anand, also known as Vishy Anand, became the first Grand Indian teacher in 1988, when he was 18 years old. It is the most strong non -Russian chess player from Bobby Fischer.	es
When you have a positive attitude, you are looking for solutions to the problems you can manage, and you don't know things that are out of your control.	fr
Yugoslavia says not to be responsible for the actions of Serbian militias in Bosnia that have killed Miles, taken cities to ruin, and have turned 1.3 million people into refugees during the last three months.	es
If we may go up on stilts, because on stilts still have to walk from our legs. And at the highest throne in the world if only seated on our ass.	fr
"""What are the twelve zodiac signs in the order in which the sun crosses it in the course of a year?""- ""Uh, let me think briefly!""- ""Nothing superior! It has to come out of the pistol!"""	de
The truth is that the program of this game sounds very good, I think I will vote, to see if there is luck and at least meet some of its main points.	es
We do not accept that the oligarchy that led us to the crisis takes advantage of it to strengthen its power, making believe that there is no alternative to austerity policies.	es
The mercury rover avoids the day side where temperatures can exceed 400 degrees Celsius, but moves on the night side where temperatures are less than 100 degrees Celsius.	fr
Then he said to them: your small believer, why are you so fearful? And got up and threatened the wind and the sea. It became very silent.	de
And so the two little rabbits lived happily together in the forest;Eating lion's teeth, playing to jump the margaritas, running through the clover and finding the acorn for the whole day.	es
The first official race for the title of World Champion of Chess (a 24 -games meeting) took place in New York, Saint Louis and New Orleans between Wilhelm Steinitz (the winner) and Johannes Zukertart, in 1886.	ru
The words of man may not be perfect, his vision and his thoughts can be defective;But his heart must beat the rhythm of creation to remind the angry lands and skies the lost taste of serenity.	ru
Once some students locked Tom in the class cabinet after school. In it he had to stay for five hours until the caretaker finally heard his screams and freed him.	de
I am not religious in the normal sense. I think the universe is governed by the laws of science. Laws may have been decreed by God, but God does not intervene to violate laws.	es
Each individual, as a member of society, has the right to social security, as well as the realization through national effort and international cooperation and in relationship with the organization and resources of every state, of the economic, social and cultural rights essential to his dignity and the free development of his personality.	ru
Is a new mass extinction coming? Everything leads me to fear that the damn war industry is about to reach, with its sinister nuclear arsenal, the stupid objective of extinguishing life on earth.	es
After six weeks to diet, Eugenio had not lost a gram because he ate sweet sweets when he believed that no one looked, without realizing that the scale could not deceive her.	es
You have to know what you want. When you know, you have to have the courage to say it;When you say it, you have to have the courage to do it.	fr
Anyone who stands on the bridge that leads over the river that flows through the village in which the man lives who has the collar, gives magical powers that do miracles.	de
Master, who was with you beyond the Jordan, from whom you were testimony, see, the baptism, and everyone comes to him.	de
Rapunzel had long, magnificent hair, finely as spun gold. If she now heard the sorceress's voice, so she tied her braids, she wrapped her around a window hook, and then the hair fell down twenty cubits and the sorceress climbed.	de
Thomas understands that natural laws and forces, space-time, electromagnetic and gravitational fields, energy, atoms, stars, galaxies, life ... In short, everything originated in an indescribable singularity that mysteriously exploded: the Big Bang.	es
Shiriti's game is played by taking the final sound of the word pronounced by the person preceding you, then the next person is looking for a word that begins with this sound.	fr
Administrative services and institutions should employ innovative tools, methods and systems to cooperate between them, through all the strata of the government and with associations, businesses and individuals in the private sector.	fr
"""No, no, father,"" said the princess, ""I'm not old enough to get married. Give me at least a year and a day until the wedding takes place!""She hoped that Georg would come and save her from the common marshal."	de
When an object moves away from the earth, the light that emits is seen in longer wavelengths. When an object approaches the earth, the light emitted is seen in shorter wavelengths.	es
A dictionary is a reference work of words or terms that are listed in alphabetical order. The words and terms included in the dictionary are described in relation to their meaning, definition, etymology, spelling and grammatical form.	ru
"Father, I know what you did in Gamelon.""That?""""Stop acting as if you didn't know, you, shit, stupid!""""I ..."" ""It's better to speak quickly or I will beat you up!""""What fuck you!"""	es
Paris syndrome is a kind of culture shock. It is a psychiatric term used to describe foreigners who are starting to live in Paris, seduced by the image of the city as the center of fashion, and who do not adapt well to local and cultural customs, they lose their mental balance and show symptoms identical to those of depression.	fr
Once, Zhuangzi dreamed of being a butterfly, but when he woke up, he was not sure if he was Zhuangzi who had dreamed of being a butterfly or if he was a butterfly who dreamed of being Zhuangzi.	fr
"The cave dwellers said ""bridge"" when one of them crossed a river and went on the trunk of a high tree that happened to be there. Unfortunately, nobody knows this word."	de
Since there is a tired thing for popular belief that if you eat a quarter of an iceberg lettuce, this is known in Korea among truck drivers as a food that you cannot eat before work.	de
Humane society is a task of all humanity. Those who benefit the most from her should pay the most for the profit they achieve. But since they are of course greedy, they just want more.	de
The Court established that the mayor's decision to use public funds to carry out a loan to assist a local commercial activity, which shortly after declared bankruptcy, was part of the field of the mayor's discretionary powers in the normal performance of its functions.	ru
There is no sin, and there can be no sin on earth that God does not forgive the one who regrets sincerely. Man cannot commit a sin so great that he exhausts the infinite love of God. Can there be any sin that exceeds God's love?	es
"You can choose any name you like both types of government. I personally call the type of government which can be dismissed ""democracy"" and the other ""tyranny""."	fr
Europe is somewhat smaller than the moon of the earth. Your ocean is buried below about 15 to 25 km of ice. Experts assume that the ocean itself is between 60 and 150 km deep.	de
Abraham fell on his face and smiled;And he says in his heart: what? Would a centenary still generate? And at ninety years, Sara would become a mother?	fr
"""5,000 euros? It's delirium, I can't afford it!"""" Did you live under a rock? ""We are in 2030, there is no cheaper as a camera.""But I have no more money. I am a translator. Or rather, I was a translator. Since there has been these Tesla robots everywhere, I have had no more work.»»"	fr
That man has already touched back: his wife has left him, they have thrown him out of work and is an alcoholic. The worst thing is that I knew him, he was my boss five years ago.	es
When I look at the news, I sometimes feel a feeling of helplessness as if the world collapsed without being able to align something;As if I could just watch how she turns up around me in flames.	de
"In the end he turned, always leaning against the chair, and automatically lengthening his hand towards the hat, he said with a kind of exasperation: ""Farewell"".""Oh, I can't stand it ... I will break my heart,"" said Dorothea, getting up from his place, while the flow of his young passion knocked all the obstacles that had kept him silent - the great tears that got up and fell in an instant: ""I don't care about poverty: I hate my wealth."""	ru
My Latin teacher looked at me severely above the edge of his glasses, but now I know that he had to do only with the fact that he wore reading glasses and that he would find annoying to remove them continuously, so what he seemed contempt for us students could very well be kindness.	ru
Perhaps, young man, you will change the mind when you are my age. I remember that it is still only a blank-fin of twenty-one to twenty-two years old, I already believed myself as wise as I am now.	fr
I am the prodigious flying spaghetti. You don't have to have other monsters before me. (After that it is fine, simply uses the protections.) The only monster that deserves the capital letter is me! The other monsters are false monsters, which do not deserve the capital letter.	ru
The future is not created by violence and not by the desire for conquest, but by the patient application of the democratic method, through the constructive spirit of unification and through respect for freedom.	de
"Now, it is true that I believe that this country follows a dangerous path when it allows an excessive degree of centralization of government functions. I oppose it - In some cases, the fight is rather desperate. But, to achieve the slightest success, it is quite clear that the federal government cannot avoid or escape the responsibilities whose mass of people are firmly convinced that it should undertake them. The political processes of our country are such that, if the reign of reason is not used in this effort, we will lose everything - even until a change in the constitution, possible and radical. This is what I mean by my constant insistence on ""moderation"" in government."	fr
The symbols of the humble man for his body and his spirit should be the tree and water respectively, because the tree becomes hard on the outside and mature over time to provide shadow and shelter to those in need;On the other hand, water is serene, it benefits everyone equally and also has a devastating force capable of destroying the most powerful nations in the world.	es
"When the individual announces ""go go tacubaya, if he does not know better or go"", what he really wants to communicate is the absence of government paternalism, and in certain areas of the capital, he does not attend these places that are unknown, where one does not know geotopography."	es
No one can serve two masters. Because, or he will hate one, and will love the other;Or he will be attached to one, and will despise the other. You cannot serve God and Mammon.	fr
"In English, ""3.14"" is written, but ""3,14"" in Turkish and in French.""Three point one four"" in English, and ""three fourteen coma"" in Turkish and French is read."	es
Everything that I have made derives from hard work. All the bad things that happen to me are due to bad luck. Everything you made derives from good luck. All the bad things that happen to you are due to your lack of work ethics.	ru
A typical constellation of the north is the big car. Together with the north star, which you can easily find with its help, he is even the motif on the Alaska flag. On the other hand, there is an equally striking constellation of the south on the flag of New Zealand, namely the cross of the south.	de
Tatoeba is more than a website. Tatoeba is a group of volunteers who translate existing sentences, or writes new ones, in order to allow others to be familiar with their languages.	ru
"Learning a language is much more than an intellectual or cognitive task. It is a vehicle for growth and maturation through the experience of other cultures. Expand our horizons and deepen our personality. It allows us to find new approaches when solving problems, since we have known other worlds, allowing us to ""see with new eyes"", as Proust says."	es
Monterey Bay National Marine Sanctuary is one of the best places in the world to see marine fauna. You can see seals, sea lions, sea lattre, whales, dolphins and marine birds at any time of the year!	ru
India - BHārat - is still full of mystery for me. I still cannot differentiate the Hindi from the hangjabi when I heard a conversation. Among the languages ​​of India, my favorites are Pali, Sanskrit and Tamil. Pali is the liturgical language of southern Buddhism, while Sanskrit is the liturgical language of northern Buddhism and Hinduism. The Tamil is official in Singapore, with Mandarin, Malay and English.	fr
The images that have detached themselves from each aspect of life merge in a common course, where the unity of this life can no longer be restored. The reality considered partially unfolds in its own general unity as a pseudo-world separate, the object of the only contemplation. The specialization of the images of the world is found, accomplished, in the world of the autonomized image, where the lie lied to himself. The show in general, as a concrete inversion of life, is the autonomous movement of non-living.	fr
"When I went to bed on the night of November 27, I took my blind cat in my arms and said: ""You and I, we are alone in this world.""But two days later, my blind cat died and I have been completely alone."	es
The eminent and authority positions in the congress are allocated according to the duration of the service, regardless of quality. Superficial observers have long been criticizing the United States for its youth fetishism. It's unfair. Unique among the modern bodies of public and private administration, its national legislature rewards Senility.	fr
Death is something we often avoid talking, or even thinking, but I understood that preparing for death is one of those things that give us more power. Thinking about death clarifies our life.	es
Do you think that a peasant who lives a more organic life than yours in an abandoned country, while using cow's steco to light the fire, is in a certain sense richer than you?	ru
All national ecclesiastical institutions, whether Jewish, Christian or Turkish, only appear to me as human inventions, established to terrify humanity, enslave it and monopolize power and profits.	fr
My Latin professor used to look rigorously on me above the edge of her glasses, but now I know that she was only due to the fact that she wore reading glasses and that it was annoying to always take them away, so what seemed contempt to us to us could really and really have been kindness.	es
"Since there are usually many websites on any given topic, I usually click on the ""back"" button and enough when I arrive on any web page that has pop-up advertising. I simply go to the next page found by Google and I hope to find something less irritating."	ru
Pot Pot the carrots, instead of tomatoes, cannon ball you don't care!	fr
Among the many actions committed by the dictators, we can mention that: they suspend political activity, suspend the rights of workers, prohibit strikes, dismiss the Supreme Court of Justice, close nightclubs, censor the media, burn thousands of books and magazines considered dangerous.	es
Sir William Lucas, formerly a merchant in Meryton, had a pretty fortune. Having exercised the mayor's office honorably, he had obtained from the king the title of knight.	fr
But life is sad and solemn. They leave us in a wonderful world, we are here, we introduce ourselves, and we go together for a while. Then we lose each other and disappear in an equally sudden and inexplicable way than when we came.	es
An algebric group similar on a K -field field is a covariant mushroom representable by the category of commutative algebre on K to the category of groups such that the algebra it represents is finished generated.	ru
Magnus Carlsen is known as one of the greatest chess talents ever lived. He became a great teacher at the age of 13, 4 months and 27 days. He has won numerous tournaments and has been the number one player in the world continuously since 2011.	ru
And what we really want is to have many phrases in many possible languages. That is why Tatoeba is multilingual, but not of the class where languages ​​simply imitate each other, and where some language pairs remain in oblivion. Tatoeba is really multilingual, all languages ​​are interconnected.	es
My Latin teacher looked at me severely above the edge of his glasses, but now I know that he had to do only with the fact that he wore reading glasses and that he would find annoying to remove them continuously, so what he seemed contempt for us students could very well be really kindness.	ru
If a group of stones, even if completely surrounded by opposing stones, has two separate spaces inside, or two eyes, where the opponent cannot play, will not be caught - is considered a live group.	ru
While the motorist has only an approximate view of the flowery lawns, the urban cyclist perceives the colors and the different scents of the flowers, the smell of freshly cut lawn, the rustling of the chestnut leaves, or the scintillating sun through the shimmering green of trees in the spring.	fr
"Marias Mini came to a standstill with squeaky tires and the passenger door opened. Maria had leaned over from the driver's seat with a wide grin on the face.""Hey! Tom!""she called, drowning the music from the car's stereo system.""Get in!"""	de
In a place in La Mancha, whose name I do not want to remember, I have not lived a hidalgo of the speech in shipyard, ancient Adarga, Rocín Flaco and Galgo Corredor.	es
Tomorrow, from dawn, at a time when the campaign whitens, I will leave. You see, I know you expect me. I will go through the forest, I will go through the mountain. I cannot stay away from you longer. I will walk my eyes fixed on my thoughts, without seeing anything outside, without hearing any noise, alone, unknown, my back bent, my hands crossed, sad, and the day for me will be like night. I will not look at neither the falling gold who falls, nor the sails in the distance towards Harfleur, and when I arrive, I will put on your grave a bouquet of green holly and heather in bloom.	fr
All men who benefit from the fruits of the earth must return part of them to the Church, which will use them in three uses: the subsistence of the parish priests, the maintenance of religious buildings and help the poor.	es
Maria is sitting on her desk and translates a novel, surrounded by bulky dictionaries batteries. Maria needs them all, because she translates with almost fanatic precision.	es
The city of Seville is being forced to cancel its annual Holy Week processions, its famous bullfights and its horsepower fairs with a cost of five hundred million dollars, an amount that some fear that it can bring to bankruptcy to the southern region of Andalusia.	es
When she looks at me, my head goes out;When she speaks to me, I start stuttering;And when she smiles at me, I get to the edge of fainting. I love her!	es
So that the oppressive heat in Yokohama, where the games took place, was scheduled for this 9 p.m. local time. Nevertheless, there was a temperature of 28 ° C on Friday evening at kick -off and an air humidity of 78%.	de
Gloria to the Father, to the Son and the Holy Spirit. As it was in the beginning, now and always, over the centuries of the centuries. Amen.	ru
Nobody may be convicted of an action or omission, which was not punishable at the time of their inspection according to domestic or international law. Likewise, no more serious punishment may be imposed than the punishment threatened at the time the criminal act was committed.	de
Each individual who works has the right to a fair and satisfactory remuneration that ensures himself and his family an existence in accordance with human dignity and integrated, if necessary, by other means of social protection.	ru
It is probably the Polish exterior prime minister of history that says this, but there I go: it is less the fear I have of German power than the one I am beginning to have of its inactivity.	es
I think it is a good thing that evangelization is prohibited in Russia, but I remember the time when the theocratic Christian right protested against Israel which proposed a similar law.	fr
A nice lady brought me to a huge, gigantic - at least for the perspective of a three -year -old girl - room, with high shelves full of toys. And I was sitting there, in the same place, I have no idea how long, but probably for five eternal minutes or so, and then I started crying how I never cried first (or at least that's how my mom described it to me). The ladies from the nursery school tried to calm me down, but it did not help. Fortunately, my mother was still there, talking to a parent of another child, so she came to me and brought me home. And they decided not to take me there again until I was six or so.	ru
Once social change begins, it is not possible to back down. You can't make a person forget how to read. You cannot humiliate a person who feels pride. You can't oppress people who no longer feel fear.	es
I do not know who is the biggest bastard, Vladimir Putin or Bashar al Assad: one assassinates journalists and bled Chechnya and Georgia, the other has children torture. How can the women of these guys support them?	fr
Language is only the cartography of human thoughts, feelings and memories. Like all cards, it is a reduction a hundred thousandth of what it is trying to represent.	fr
"Open an image and select a design for the image. Press in ""open"" to open the image. Press ""get out"" to get out of the program. The characteristic ""image design"" allows you to see it in any design."	es
"""Where can I find a city plan?""""If you continue in this street, you will arrive at a service station. They have a selection of plans there.»»"	fr
Voyager 2 flew up to the cloud cover of the Uranus up to 81400km and collected data that showed two new rings, eleven new moons and temperatures of −214 ° C.	de
The other day I stopped in a second -hand book shop while I went home from school and happened to find a book that I had looked for for a long time.	ru
Each gun that is produced, every launched war ship, every fired rocket means, in the final sense, a theft against those who are hungry and are not nourished, those who are cold and are not dressed. This world of weapons is not only spending the money. He is spending the sweat of his workers, the genius of his scientists, the hopes of his children.	ru
It can be a lie that young people are made to believe they can do what they want;do not get anything;Becoming anything, because, by definition, we cannot be all extraordinary. However, it can be productive to instill hope and the will to try to become their best in children.	ru
"""He's really lived up since you're there.""- ""Oh, it is not lived, or is it?""- ""But yes! He has this sparkle in mind again.""- ""This is a nervous tick!""- ""Ha! No! That is definitely you."""	de
In the GO game, two players turn to place white and black stones on an initially empty board, to guarantee the ownership of the spaces in the playing field. The winner is the player who has conquered more territory.	es
I bought a hand -signed total edition of the works of Tom Müllers at the flea market for Läppische two hundred euros. Oh, I robbed this unsuspecting seller! I should make outdoors in the church!	de
The impacts of climate change will increase the total costs of the nation transport systems and their users, but these impacts can be reduced through redirection, the change in methods and a wide range of adaptation actions.	ru
When he said: The spotted will be your salary, all the sheep made little spotted. And when he said: the scratches will be your salary, all the sheep made little striped.	fr
Never lose sight of the importance of a beautiful sunrise, or to look at your children sleep, or the smell of rain. These are often the little things that really matter in life.	fr
Tom and Mary were preparing to dive from the left of the sentence, in the infinite corpus, when they saw a bench of hungry contributors, their teeth outside, ready to jump on them and shred their faults until the last.	fr
The inexhaustible ability of man to believe in what he prefers to be true rather than what evidence shows that he is probable and possible has always surprised me. We aspire to a caring universe that will save us from our childhood errors, and in the face of the mountains of evidence of the opposite we will store all our hopes on the thinner of doubts. God has not been demonstrated not to exist, therefore it must exist.	ru
Venus has a retrograde of ancillance, which means that it turns the other way around the earth around its axis. This opens the sun in the sky in the west and moves eastwards.	de
"""You are our new guest, right?""I didn't expect you so early.""The man of the refueling boat, Ole Jansen, brought me here. He is not very talkative, this Jansen?""Yes, well, we are like that here, we are insulating them.»»"	fr
Thomas understands that the laws and natural forces, space -time, electromagnetic and gravitational fields, energy, atoms, stars, galaxies, life - in short, everything originated in an indescribable singularity that has mysteriously exploded: the Big Bang.	ru
That is the true genius of the United States: that the United States can change. Our union can be perfected. What we have already achieved gives us hope about what we can and we must get tomorrow.	es
It is often assumed that Einstein received the Nobel Prize in 1921 for relativity theory. In fact, he received him for his groundbreaking work on the photoelectric effect.	de
If you have not heard it with your own ears or seen with your own eyes, do not invent it with your small mind or share it with your great mouth.	es
In this our democratic age, men are loudly demanding what is generally the best, regardless of their feelings. They want the expensive, not the refined, the fashionable, not the beautiful.	de
The show presents itself both as society itself, as part of society, and as an instrument of unification. As a part of society, it is expressly the sector that concentrates all eyes and any conscience. Because of this sector is separated, it is the place of the abused gaze and false consciousness;And the unification he accomplishes is nothing more than an official language of the generalized separation.	fr
People who run into books can please us, or because they resemble friends to whom we appreciate in real life, or because they are unknown to those who are delighted to meet.	es
In every hedge we have passed there were Nespole, plums, cherries and maples with screws tied to them. This abundance of fruit gives an air of great abundance and, in the same way, greatly improves the beauty of the country. The French fruit of almost all kinds exceeds the English one. An exception must be made with regard to apples, which are better in England than in any other country in the world. But the grapes, plums, pears, peaches, nectarines and cherries of France have no equal all over the world. They are obviously economic in proportion to their abundance. The health of the peasants can perhaps be largely attributed to this abundance of vegetables.	ru
For centuries, astronomers believed that the Milky Way constituted the entire universe. Hubble was among the first to demonstrate that the spots blurred in the sky seen through telescopes were other galaxies, not distant parts of the Milky Way.	ru
Globalization has gone crazy: Why is Spanish cucumber transported to northern Germany to eradicate people where half of them live in Mallorca? You have to rationalize all of this and choose a more sustainable type of bacterial extermination.	de
White: Torre in A1, Pedone in B6, King in C8. Black: pedestrians in A7 and B7, King in A8, Alfiere in B8. White puts the opponent in the Zugzwang playing the tower in A6, after which black has only two options: take the tower in A6 or move its standard bearer in any other check on the diagonal B8-H2. In the first case, the white advances its pedestrian from B6 to B7 and gives Scacco Matto. In the second situation, the white tower takes the black pedestrian in A7, with the same result.	ru
It was only at the cash register that Tom's mother noticed that her offspring secretly hidden a number of plates of chocolate among the other goods in the shopping cart.	de
"Have you ever noticed, she asked Anna by reflecting, ""that when people say you have to say certain things you have to prepare to feel something unpleasant? Why nobody seems to think that it is a duty to tell you the pleasant things they heard of you?"""	ru
If you have a positive attitude, you are looking for ways to solve the problems you can solve and do not take care of things that you have no influence on.	de
"Welcome.""I'm Honda. I have a reservation for 10.""""Thank you for coming. Today, we will provide a taxi service. It will take a little more because the taxi arrives, therefore, to please, wait here, if you don't mind.""""Okay then, I'm going to smoke a cigarette while I wait."""	ru
"Mark wrote a letter to his wife and handed him up to him that he brought him to her, and this was written in it: ""When the messenger comes, he leads him to the soap factory, and when you come by you get past the big boiler. Life remains. """	de
J. J. Thomson and his son George Thomson both received the Nobel Prize for Physics: the first, in 1906, for showing that the electron is a particle;The second, in 1937, for showing that the electron is a wave.	ru
He made light, took his sword and ran to the boys, but when he arrived there, he saw something amazing, because Hercules showed the dead snakes with a laugh.	de
"""Do you really just ask me that?""""The fact that?""""If I want to become your wife.""«If you want to become my wife? You have to have heard badly. The box with the frightfully expensive diamond ring that you liked it so much ago to make the joke, and I am here on your knees in suit because I am doing gymnastics exercises. If you want to be my wife ... I wouldn't ask that in such an unexpected way. """	es
Black play in E8 and capture the white stone in D8. In E8, the black stone is in KO, that is, in the next movement, White will not be able to capture it playing in D8. White then play in E2, practically forcing blacks to play in E1. Now white can play D8 and capture the ko stone.	es
Oregon Coast Aquarium is home to hundreds of aquatic species ... two of which arrived unexpectedly after a crossing of the Pacific, trapped in the hull of an abandoned fishing boat.	fr
This is why Tatoeba is multilingual. But not this kind of multilingualism. Not the genre where languages ​​are simply assembled in pairs, and where certain pairs are left behind.	fr
The woman has the ability to move as if it were a tower, that is, on files and columns, and as if it were a standard bearer, that is, on diagonals.	ru
There was once Christopher Columbus challenged a duel to another explorer. The last one, a little honest guy, did not take ten steps as the rules mark, but two;Then he turned to shoot. Unfortunately for him, Columbus had not taken a single step.	es
"The latest book read by my father, who disappeared in 2013, was ""lived the past lives: the psychology of regression to past lives"" by Karl Schlotterbeck. Some of my father's favorite dishes were baked salmon with mayonnaise, jellyfish, kaldereta and mochi filled with bean paste."	ru
Another thing that makes it preferable to move on foot or by bicycle is the use of a car: today the level of air pollution is very high due to the high number of cars, and, to reduce this level, the Municipality has decided to prohibit road traffic in certain days during a certain period;In addition, there are always traffic jams on the roads of Reggio Emilia, so a lot of time is wasted while stuck in a traffic jam.	ru
"""I told you you should be careful, and now you've already made me a donkey ear into the book!""- ""I'm sorry, Maria! You know how awkward I am.""- ""Yes, Tom, you hereby demonstrated that again!"""	de
Remember that the purpose of the Tatoeba project is to create example phrases that can be used to study languages. It is not really a place to contribute phrases that are not in their mother tongue because others correct them for you.	ru
"After torturing a fortune tiring him until his death for several hours, Cristoforo Colombo put the toy for Novellini in a casket with the writing: ""At the great pirate of the future Al-Sayib: the novels always deserve it."""	ru
"When the hour of farewell approached, the old mother went into her bedroom, took a knife and cut her fingers to bleed;Then she kept a white towel underneath, and when three drops of blood had fallen on it, she gave it to her daughter and said: ""Dear child, take care of this towel, because it may be useful on the journey."""	de
Many heresia, witches and atheists were burned at the concisition stake. Today, the scientist, who carefully explains to believe in supernatural intelligence, is discriminated against by his materialistic colleagues and pursued in his professional career.	de
She had no idea that the friendly old man, who leaned on her crutch, was actually a bad witch that the queen envied her happiness and was determined to destroy it.	de
The lady can move in the ranks and columns as a tower and in the diagonals like a bishop.	es
The world seems so empty, when one sees only the mountains, rivers and cities. Realize that there are people here and there, who could understand us, with whom we live silently: he changes this land in a living garden.	ru
Although most customers are dogs with knee problems, organs and prostheses have been manufactured for a wide range of animals, including horses, goats, cows, turtles and birds.	es
Sometimes I would like to ask God because he allows poverty, hunger and injustice in the world, when he could do something about it, but I fear that he could only redo the same question to me.	ru
The Germans have an inhuman way of cutting their verbs. A verb already has it hard enough in this world when it is complete. It is simply inhumane to cut it. But that's exactly what Germans do. They take part of a verb and put it here, like a bet, and then take the other and put it over there, like another use, and they simply shovel German between these two borders.	de
Monterey Bay National Marine Sanctuary is one of the best places in the world to see marine fauna. It can see seals, sea lions, sea launches, whales, dolphins and marine birds at any time of the year!	ru
Before Prime Minister Conte armored the country, many young people liquidated the threat as an exaggerated and continued with carefree lives, leaving at night and heading towards bars and clubs.	ru
Try to first form sentences in your mother tongue, then translate them into English. So you avoid producing senseless sentences that cannot be corrected.	de
I think it is my duty to sincere with you, telling the truth, no matter how difficult, how painful it is. And here, in my opinion, there is what is true: the Maga Republicans do not respect the Constitution. They do not believe in the rule of law. They do not recognize the will of the people. They refuse to accept the results of free choices. And they are working at this time, while I speak, in one state after another to grant the power to decide the elections in the United States to supporters and budins, empowering those who deny the elections to undermine democracy in itself.	es
September 26 is European Day of Languages. The Council of Europe wants to draw attention to the multilingual heritage of Europe, to promote the multilingualism of society and encourage citizens to learn from languages. Tatoeba, as a way to learn and as an active community, supports learning and enhancing languages ​​in a very practical way.	fr
Social networks have connected us more closely than ever. But new studies show that we have never been more lonely before and that this loneliness makes us mentally and physically ill.	de
The Ministry of Justice of the United States and the Federal Bureau of Investigation (FBI) have targeted American Muslims in abusive undercover operations in the framework of the fight against terrorism on the basis of religious and ethnic identity criteria, said the Human Rights Watch and the Human Rights Institute.	ru
If the landlord terminates the rental agreement without notice, the tenant can make this termination ineffective by paying the rental debt within a grace period of two months.	de
When Tom was dreaming on the meadow in a clear night and saw a shooting star pulling along the sky, he wished for a long time that Maria may reply.	de
"If your opponent's king, who is in the first (or eighth) series, is blocked by his own farmers or figures if you can give chess with the lady or tower, even if this requires one or two victims, the result of this maneuver is chess matt. In Brazil we call this kind of game ""Schachmatt in the hallway"" or ""Schachmatt in the drawer""."	de
It is encouraging to see in some modern books that scientists are starting to realize that not all the surprisingly intelligent processes of the creation, maintenance and evolution of life have arisen only by chance and natural selection.	ru
"""I finally learned it. I can finally ride a bike!""- ""Late, but better late than never, do you see it, let Tom! Sit on the saddle and turn a round!"""	de
"The troglodites said ""bridge"" when one of them crossed a river, walking on the trunk of a high tree that had fallen there by chance. Unfortunately, however, nobody knows what that word was."	es
When she heard that they were so happy and that they were so comfortable, envy and resentment in her hearts were lively and left her no rest, and she had no other thought as how she could still bring the two into misfortune.	de
Once, Zhuangzi dreamed of being a butterfly, but when he woke up, he was not sure if he was Zhuangzi who had dreamed of being a butterfly or if he was a butterfly that was now dreaming of being Zhuangzi.	ru
Everyone has the right, under conditions of full equality, to be heard publicly and with justice by an independent and impartial court, for the determination of their rights and obligations or for the examination of any accusation against it in criminal matters.	es
The poor does not depend on anyone and only responds to himself. Instead, the rich does not depend on anything, but he has to respond to others.	es
"The hangover was the lord of the house, and the hen was the mistress, and the two always said: ""We and the world"", because they thought half the world, and also the better half. The duckling said that others may disagree, but the hen gave no hearing such doubts."	de
I wonder if I should be proud that the first five pages of results of the search for my name on the Internet do not talk about me ... or if I should be ashamed.	es
"It is difficult to see when experiencing this ""great time"" that one belongs to this crazy, deteriorated species that are attributed to freedom of will. If there is an island of benevolent and prudent gods somewhere! I also wanted to be a glowing patriot."	de
